,en,de
7809,A man in a white t-shirt and beige shorts lies asleep on a black sofa.,Ein Mann in weißem T-Shirt und beigefarbenen Shorts liegt schlafend auf einem schwarzen Sofa.
7810,A young boy pointing and looking at a tree with more trees in the background.,"Ein kleiner Junge zeigt und schaut auf einen Baum, im Hintergrund sind drei weitere Bäume."
7811,A little black boy in a blue shirt and dark shorts running through a fountain.,Ein kleiner schwarzer Junge in blauem Hemd und dunklen Shorts rennt durch eine Fontäne.
7812,People having fun at a barbecue party.,Menschen amüsieren sich auf einer Grillparty.
7813,Two adults and a child are standing on a rock with mountains in the background.,"Zwei Erwachsene und ein Kind stehen auf einem Felsen, im Hintergrund sind Berge."
7814,A young man in a t-shirt smiling in a bookstore.,Ein junger Mann im T-Shirt in einem Buchladen lächelt.
7815,A group of males wearing helmet standing in a line with flags and a crowd in the background.,"Eine Gruppe männlicher Personen mit Helm steht in einer Reihe, im Hintergrund sind Flaggen und eine Menschenmenge."
7816,An orange truck is driving down the street in front of a white building.,Ein orangefarbener Lkw fährt vor einem weißen Gebäude die Straße entlang.
7817,"A baseball player is standing in place, catching a flying baseball in his mitt.",Ein Baseballspieler steht am Platz und fängt einen fliegenden Baseball in seinem Handschuh.
7818,The man is working after dark in a market.,Der Mann arbeitet nach Einbruch der Dunkelheit auf einem Markt.
7819,A dog rests on a mattress while a old woman sits on the floor.,"Ein Hund ruht auf einer Matratze, während eine alte Frau auf dem Boden sitzt."
7820,A young boy is playing with a slinky in the street,Ein kleiner Junge spielt mit einem Slinky auf der Straße.
7821,A person is sailing in the air with a red parachute over grass.,Ein Mensch segelt mit einem roten Fallschirm über Gras in der Luft.
7822,Men in traditional Scottish attire marching and playing bagpipes.,Männer in traditioneller schottischer Kleidung marschieren und spielen Dudelsack.
7823,A group of soldiers are marching in ranks while holding flags.,Eine Gruppe von Soldaten marschiert mit Flaggen in der Hand in Reih und Glied.
7824,Four boys run away up an incline.,Vier Jungen rennen einen Hang hinauf davon.
7825,Two teams of boys playing soccer and one boy is up in the air with the ball behind him.,"Zwei Jungenmannschaften spielen Fußball, ein Junge ist in der Luft und hinter ihm ist der Ball."
7826,A child playing with water noodles in a pool.,Ein Kind spielt mit Wassernudeln in einem Schwimmbecken.
7827,A girl in a black outfit hula hoops while people sit at tables eating.,"Ein Mädchen in einem schwarzen Outfit macht Hula-Hoop, während Leute essend an Tischen sitzen."
7828,One person stands on a cliff overlooking a broad valley.,Eine Person steht auf einer Klippe mit Blick auf ein breites Tal.
7829,Two young boys sitting in a chair by flowers and a green rake.,Zwei kleine Jungen sitzen auf einem Stuhl neben Blumen und einem grünen Rechen.
7830,A five man drill team on stage.,Eine fünfköpfige Exerziergruppe auf der Bühne.
7831,A bride and groom make small talk with a guest as the groom shakes the guest's hand.,Braut und Bräutigam beim Smalltalk mit einem Gast und der Bräutigam schüttelt dem Gast die Hand.
7832,Couple being married in a church.,Paar wird in einer Kirche getraut.
7833,Two people are riding down a log flume in a theme park.,Zwei Menschen auf einer Wildwasserbahn in einem Freizeitpark.
7834,Two young men participate in a soccer game.,Zwei junge Männer spielen bei einem Fußballspiel mit.
7835,This guy is in midair while wearing a red soccer uniform.,Typ in rotem Fußballdress mitten in der Luft-
7836,A woman cooking food on hot stove.,Eine Frau kocht Essen auf einem heißen Herd.
7837,A girl with black gloves is running.,Ein Mädchen mit schwarzen Handschuhen rennt.
7838,A girl in blue jeans leans against a golden-yellow car.,Ein Mädchen in blauen Jeans lehnt an einem gold-gelben Auto.
7839,A man and a boy pose for a picture in a stairway overlooking a waterfall.,Ein Mann und ein Junge posieren für ein Bild auf einer Treppe mit Blick auf einen Wasserfall.
7840,A woman wearing a purple jacket stands next to a horse.,Eine Frau in violetter Jacke steht neben einem Pferd.
7841,A bride is hugging a person with short blond-hair.,Eine Braut umarmt eine Person mit kurzem blondem Haar.
7842,A red-haired woman with green eyes is entering a van.,Eine rothaarige Frau mit grünen Augen steigt in einen Van.
7843,A man in a plaid shirt is standing near a pile of rubble.,Ein Mann in kariertem Hemd steht neben einem Schutthaufen.
7844,Children playing with a bike in the sand.,Kinder spielen mit einem Fahrrad im Sand.
7845,"Three small boys wrestling and one is shirtless, smiling, and facing the camera.","Drei kleine Jungen ringen, einer davon mit freiem Oberkörper lächelt und schaut in die Kamera."
7846,"Boy in orange, jumping off a rusted colored pipe, into sand.",Junge in Orange springt von einer rostigen bunten Röhre in den Sand.
7847,Two men wearing gray shirts and red hats are working with cement.,Zwei Männer in grauen Hemden und mit roten Mützen arbeiten mit Zement.
7848,A guy taking a nap in the back of a vehicle.,Ein Typ macht ein Nickerchen im hinteren Teil eines Fahrzeugs.
7849,Vehicles parked at a restaurant and gas station somewhere in Mexico.,Fahrzeug parken vor einem Restaurant und Tankstelle irgendwo in Mexiko.
7850,Two girls are in line about to order at a Mexican eatery.,Zwei Mädchen stehen in einem mexikanischen Lokal in der Schlange zum Bestellen.
7851,A friend photo with two boys looking at each other while the girl looks at the camera smiling.,"Foto von Freunden, zwei Jungen schauen einander an und das Mädchen schaut lächelnd in die Kamera."
7852,A black and brown dog rests head on lower steps of stairs.,Ein schwarz-brauner Hund hat den Kopf auf untere Treppenstufen gelegt.
7853,A small boy wearing a red shirt swinging a baseball bat,Ein  kleiner Junge in einem roten Hemd schwingt einen Baseballschläger.
7854,Man in business attire jumping off the side of a building.,Mann in Geschäftskleidung springt von der Seite eines Gebäudes.
7855,Two men sleep in the backseat of a car.,Zwei Männer schlafen auf dem Rücksitz eines Autos.
7856,Couple in car look at something beyond the camera.,Paar im Auto schaut etwas hinter der Kamera an.
7857,A woman dressed in black and pink has a large tattoo on her back.,Eine schwarz-pink gekleidete Frau hat ein großes Tattoo auf dem Rücken.
7858,Two guys smiling as they sit in a vehicle.,Zwei Männer sitzen in einem Fahrzeug und lächeln.
7859,Men and women riding bicycles in a hot sunny day in a big city.,Männer und Frauen fahren an einem heißen sonnigen Tag in einer großen Stadt Fahrrad.
7860,Boy in yellow tank top laughing on a beach.,Junge in gelbem Tanktop lacht am Strand.
7861,A couple sits on a shaded bench with a view of trees and a large building.,Ein Paar sitzt auf einer Bank im Schatten mit Blick auf Bäume und ein großes Gebäude.
7862,"A native boy, in yellow, swinging from a rope.",Ein Ureinwohner-Junge in Gelb schwingt sich von einem Seil.
7863,A group of children are playing in water.,Eine Gruppe von Kindern spielt im Wasser.
7864,A group of people are running on the sand.,Eine Gruppe von Menschen rennt über den Sand..
7865,Walkers and bikers head down an empty New York street.,Läufer und Radfahrer eilen eine leere Straße in New York entlang.
7866,Man holding a little girl in a street.,Ein Mann hält ein kleines Mädchen auf einer Straße.
7867,A wet young girl in a white coat stands among water fountains.,Ein nasses kleines Mädchen in weißem Mantel steht zwischen Wasserfontänen.
7868,Two females are blowing bubbles with their gum.,Zwei weibliche Personen machen Kaugummiblasen.
7869,An adult male and a small child look to their left as they ride bicycles.,Ein männlicher Erwachsenen und ein kleines Kind fahren Fahrrad und schauen nach links.
7870,A white car is parked next to some houses in a third world country.,Ein weißes Auto parkt in einem Dritte-Welt-Land neben Häusern.
7871,Five men building a foundation for a house,Fünf Männer bauen das Fundament für ein Haus.
7872,A child swims underwater in a pool.,Ein Kind schwimmt unter Wasser in einem Schwimmbecken.
7873,A man wearing a red hat while holding a ladder with a man in a brown hat looking at him.,"Ein Mann mit einem roten Hut auf dem Kopf hält eine Leiter, während ein Mann mit einem braunen Hut auf dem Kopf ihn ansieht."
7874,Two kids chasing each other in the sand.,Zwei Kids jagen einander im Sand.
7875,A group of people looking over railing at the water and the land covered in fog.,Eine Gruppe von Menschen blickt über ein Geländer aufs Wasser und das Land im Nebel.
7876,A group of people are picking vegetables outside.,Eine Gruppe von Menschen sammelt im Freien Gemüse.
7877,A man listens to someone on the phone with an estranged look on his face behind a fruit stand.,Ein Mann an einem Obststand hört mit befremdetem Blick jemandem am Telefon zu.
7878,Adult and child walking on a dirt road.,Erwachsener und Kind laufen auf einer unbefestigten Straße.
7879,A person in blue is examining a wall.,Eine Person in Blau untersucht eine Wand.
7880,Men work together on a construction project.,Männer arbeiten bei einem Bauprojekt zusammen.
7881,A person with striped red socks is running on a hill side forest road.,Eine Person mit rot-gestreiften Socken rennt über einen Waldweg am Hang.
7882,People on the city street walk past a puppet theater.,Menschen auf der Straße in der Stadt gehen an einem Puppentheater vorbei.
7883,A tan dog wearing a muzzle is running on sand.,Ein hellbrauner Hund mit Maulkorb läuft über Sand.
7884,A boy wearing a red shirt and blue shorts is walking outside.,Ein Junge in einem roten Hemd und blauen Shorts läuft im Freien.
7885,A man in a blue shirt and gray pants is sleeping on a sidewalk bench.,Ein Mann in blauem Hemd und grauer Hose schläft auf einer Bank auf dem Gehsteig.
7886,Construction workers building a frame for a structure.,Bauarbeiter bauen einen Rahmen für eine Konstruktion.
7887,A group of people build a wall for a building.,Eine Gruppe von Menschen baut eine Wand für ein Gebäude.
7888,A woman plays the Organ at a church.,Eine Frau spielt Orgel in einer Kirche.
7889,A young man in a baseball cap plays an electric guitar.,Ein junger Mann mit Baseballkappe spielt E-Gitarre.
7890,Men working construction hold up the frame of a wall.,Männer halten bei Bauarbeiten das Fachwerk für eine Wand hoch.
7891,A man in a black coat eats a doughnut while other men look out of frame.,"Ein Mann in einem schwarzen Mantel isst einen Doughnut, andere Männer schauen aus einem Rahmen heraus."
7892,Four people stand in front of trees.,Vier Menschen stehen vor Bäumen.
7893,A man with a Mohawk hairstyle wears a backpack at a college campus.,Ein Mann mit Irokesenfrisur auf einem College-Campus trägt einen Rucksack.
7894,Two children sliding in the snow.,Zwei Kinder rutschen im Schnee.
7895,A brindle dog runs beside some pilings in ground at the waterside.,Ein gescheckter Hund rennt hinter einigen Pfahlkonstruktionen im Boden am Ufer.
7896,A man is outside selling various toys.,Ein Mann im Freien verkauft verschiedene Spielzeuge.
7897,The woman in the green striped shirt and backpack has a tattoo on her back.,Die Frau mit Rucksack im grün-gestreiften Hemd hat ein Tattoo auf dem Rücken.
7898,A street performer rides a high unicycle while balancing juggling devices.,Ein Straßenkünstler fährt auf einem hohen Einrad und hält dabei  Jongliergeräte im Gleichgewicht.
7899,Four men and one woman sitting on the ground in the shade.,Vier Männer und eine Frau sitzen im Schatten auf dem Boden.
7900,The dog is running through deep snow.,Der Hund rennt durch Tiefschnee.
7901,A man is working on the caboose of the red train.,Ein Mann arbeitet im Dienstwagen des roten Zugs.
7902,The little boy is running through the sprinklers.,Der kleiner Junge läuft durch die Wassersprenger.
7903,A group of people building a frame of a building.,Eine Gruppe von Menschen baut ein Gerüst für ein Gebäude.
7904,A person is looking at water jets.,Eine Person schaut Wasserstrahlen an.
7905,A man is laying on two green air mattresses with one thumb up.,Ein Mann liegt auf zwei grünen Luftmatratzen und hält einen Daumen in die Luft.
7906,A hooded man working in a kiosk displays his wares.,Ein Mann mit Kapuze arbeitet in einem Kiosk und stellt seine Waren aus.
7907,A view of a marketplace full of people in an asian country.,Ansicht eines Marktplatzes voller Menschen in einem asiatischen Land.
7908,"A man, standing in his skiff net fishes the waters.",Ein Mann steht in seinem Ruderboot und fischt mit einem Netz im Wasser.
7909,Two men in white t-shirts and tool belts sit on frame work for a structure.,Zwei Männer in weißen T-Shirts mit Werkzeuggürteln sitzen auf einem Gerüst für eine Konstruktion.
7910,A group of people are eating a meal outdoors together.,Eine Gruppe von Menschen isst gemeinsam im Freien.
